b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Nov 30, 1965",/boxscores/196511300NYK.html,St. Louis Hawks,119,New York Knicks,138,Box Score,,,
"Wed, Dec 1, 1965",/boxscores/196512010DET.html,St. Louis Hawks,110,Detroit Pistons,101,Box Score,,,
"Wed, Dec 1, 1965",/boxscores/196512010BAL.html,New York Knicks,125,Baltimore Bullets,139,Box Score,,,"at Detroit, MI"
"Wed, Dec 1, 1965",/boxscores/196512010LAL.html,Cincinnati Royals,105,Los Angeles Lakers,121,Box Score,,,
"Thu, Dec 2, 1965",/boxscores/196512020CIN.html,San Francisco Warriors,125,Cincinnati Royals,119,Box Score,,,"at Oakland, CA"
"Fri, Dec 3, 1965",/boxscores/196512030BOS.html,Philadelphia 76ers,119,Boston Celtics,103,Box Score,,,
"Fri, Dec 3, 1965",/boxscores/196512030LAL.html,Cincinnati Royals,122,Los Angeles Lakers,118,Box Score,,,
"Sat, Dec 4, 1965",/boxscores/196512040DET.html,Baltimore Bullets,119,Detroit Pistons,130,Box Score,,,
"Sat, Dec 4, 1965",/boxscores/196512040STL.html,Boston Celtics,100,St. Louis Hawks,94,Box Score,,,
"Sun, Dec 5, 1965",/boxscores/196512050CIN.html,Boston Celtics,99,Cincinnati Royals,108,Box Score,,,
"Sun, Dec 5, 1965",/boxscores/196512050SFW.html,St. Louis Hawks,113,San Francisco Warriors,99,Box Score,,,"at Omaha, NE"
"Mon, Dec 6, 1965",/boxscores/196512060LAL.html,Philadelphia 76ers,116,Los Angeles Lakers,107,Box Score,,,"at Charleston, WV"
"Tue, Dec 7, 1965",/boxscores/196512070BOS.html,St. Louis Hawks,96,Boston Celtics,112,Box Score,,,"at New York, NY"
"Tue, Dec 7, 1965",/boxscores/196512070NYK.html,Los Angeles Lakers,127,New York Knicks,131,Box Score,,,
"Wed, Dec 8, 1965",/boxscores/196512080BAL.html,Philadelphia 76ers,127,Baltimore Bullets,129,Box Score,,,
"Wed, Dec 8, 1965",/boxscores/196512080BOS.html,Los Angeles Lakers,106,Boston Celtics,108,Box Score,,,
"Wed, Dec 8, 1965",/boxscores/196512080DET.html,San Francisco Warriors,113,Detroit Pistons,115,Box Score,,,
"Wed, Dec 8, 1965",/boxscores/196512080NYK.html,St. Louis Hawks,104,New York Knicks,93,Box Score,,,"at Boston, MA"
"Thu, Dec 9, 1965",/boxscores/196512090CIN.html,San Francisco Warriors,110,Cincinnati Royals,109,Box Score,,,"at Dayton, OH"
"Fri, Dec 10, 1965",/boxscores/196512100BAL.html,San Francisco Warriors,127,Baltimore Bullets,145,Box Score,,,
"Fri, Dec 10, 1965",/boxscores/196512100CIN.html,Los Angeles Lakers,129,Cincinnati Royals,110,Box Score,,,
"Fri, Dec 10, 1965",/boxscores/196512100PHI.html,Detroit Pistons,116,Philadelphia 76ers,114,Box Score,,,
"Fri, Dec 10, 1965",/boxscores/196512100STL.html,New York Knicks,109,St. Louis Hawks,106,Box Score,,,
"Sat, Dec 11, 1965",/boxscores/196512110BOS.html,San Francisco Warriors,106,Boston Celtics,143,Box Score,,,
"Sat, Dec 11, 1965",/boxscores/196512110CIN.html,Philadelphia 76ers,135,Cincinnati Royals,132,Box Score,OT,,"at Syracuse, NY"
"Sat, Dec 11, 1965",/boxscores/196512110LAL.html,St. Louis Hawks,108,Los Angeles Lakers,126,Box Score,,,
"Sat, Dec 11, 1965",/boxscores/196512110NYK.html,Baltimore Bullets,127,New York Knicks,150,Box Score,,,
"Sun, Dec 12, 1965",/boxscores/196512120LAL.html,St. Louis Hawks,101,Los Angeles Lakers,123,Box Score,,,
"Tue, Dec 14, 1965",/boxscores/196512140BAL.html,Detroit Pistons,129,Baltimore Bullets,142,Box Score,,,"at New York, NY"
"Tue, Dec 14, 1965",/boxscores/196512140CIN.html,Philadelphia 76ers,109,Cincinnati Royals,112,Box Score,,,
"Tue, Dec 14, 1965",/boxscores/196512140NYK.html,San Francisco Warriors,137,New York Knicks,141,Box Score,,,
"Wed, Dec 15, 1965",/boxscores/196512150SFW.html,St. Louis Hawks,113,San Francisco Warriors,128,Box Score,,,"at Oakland, CA"
"Wed, Dec 15, 1965",/boxscores/196512150LAL.html,Philadelphia 76ers,122,Los Angeles Lakers,108,Box Score,,,
"Wed, Dec 15, 1965",/boxscores/196512150BAL.html,New York Knicks,108,Baltimore Bullets,111,Box Score,,,
"Wed, Dec 15, 1965",/boxscores/196512150BOS.html,Cincinnati Royals,117,Boston Celtics,110,Box Score,,,
"Fri, Dec 17, 1965",/boxscores/196512170DET.html,Boston Celtics,114,Detroit Pistons,112,Box Score,,,
