b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Thu, Nov 16, 2000",/boxscores/200011160TOR.html,7:00p,Portland Trail Blazers,86,Toronto Raptors,80,Box Score,,"19,800",
"Thu, Nov 16, 2000",/boxscores/200011160WAS.html,7:00p,San Antonio Spurs,99,Washington Wizards,95,Box Score,,"19,832",
"Thu, Nov 16, 2000",/boxscores/200011160SAC.html,8:00p,Los Angeles Lakers,112,Sacramento Kings,110,Box Score,OT,"17,317",
"Thu, Nov 16, 2000",/boxscores/200011160HOU.html,8:30p,Charlotte Hornets,80,Houston Rockets,84,Box Score,,"11,028",
"Thu, Nov 16, 2000",/boxscores/200011160DEN.html,9:00p,Chicago Bulls,85,Denver Nuggets,89,Box Score,,"10,150",
"Thu, Nov 16, 2000",/boxscores/200011160UTA.html,9:00p,Orlando Magic,84,Utah Jazz,99,Box Score,,"18,851",
"Thu, Nov 16, 2000",/boxscores/200011160VAN.html,10:00p,Los Angeles Clippers,76,Vancouver Grizzlies,72,Box Score,,"12,210",
"Fri, Nov 17, 2000",/boxscores/200011170IND.html,7:00p,Golden State Warriors,92,Indiana Pacers,90,Box Score,,"17,101",
"Fri, Nov 17, 2000",/boxscores/200011170PHI.html,7:00p,Miami Heat,73,Philadelphia 76ers,94,Box Score,,"20,720",
"Fri, Nov 17, 2000",/boxscores/200011170BOS.html,7:30p,Atlanta Hawks,99,Boston Celtics,106,Box Score,,"13,815",
"Fri, Nov 17, 2000",/boxscores/200011170CHH.html,7:30p,Detroit Pistons,96,Charlotte Hornets,89,Box Score,,"14,771",
"Fri, Nov 17, 2000",/boxscores/200011170MIN.html,8:00p,San Antonio Spurs,94,Minnesota Timberwolves,99,Box Score,OT,"17,288",
"Fri, Nov 17, 2000",/boxscores/200011170MIL.html,8:30p,Cleveland Cavaliers,76,Milwaukee Bucks,89,Box Score,,"13,874",
"Fri, Nov 17, 2000",/boxscores/200011170PHO.html,9:00p,New York Knicks,90,Phoenix Suns,85,Box Score,,"18,738",
"Fri, Nov 17, 2000",/boxscores/200011170SEA.html,10:00p,Dallas Mavericks,99,Seattle SuperSonics,95,Box Score,,"12,285",
"Sat, Nov 18, 2000",/boxscores/200011180TOR.html,7:00p,Milwaukee Bucks,102,Toronto Raptors,111,Box Score,,"19,800",
"Sat, Nov 18, 2000",/boxscores/200011180WAS.html,7:00p,Boston Celtics,89,Washington Wizards,109,Box Score,,"19,290",
"Sat, Nov 18, 2000",/boxscores/200011180ATL.html,7:30p,Minnesota Timberwolves,94,Atlanta Hawks,84,Box Score,,"13,036",
"Sat, Nov 18, 2000",/boxscores/200011180MIA.html,7:30p,Portland Trail Blazers,80,Miami Heat,86,Box Score,,"16,500",
"Sat, Nov 18, 2000",/boxscores/200011180NJN.html,8:00p,Indiana Pacers,92,New Jersey Nets,97,Box Score,,"12,465",
"Sat, Nov 18, 2000",/boxscores/200011180HOU.html,8:30p,Phoenix Suns,89,Houston Rockets,94,Box Score,,"12,694",
"Sat, Nov 18, 2000",/boxscores/200011180DEN.html,9:00p,Los Angeles Lakers,86,Denver Nuggets,87,Box Score,,"19,513",
"Sat, Nov 18, 2000",/boxscores/200011180UTA.html,9:00p,Chicago Bulls,64,Utah Jazz,109,Box Score,,"17,839",
"Sat, Nov 18, 2000",/boxscores/200011180VAN.html,10:00p,Dallas Mavericks,91,Vancouver Grizzlies,88,Box Score,,"13,301",
"Sat, Nov 18, 2000",/boxscores/200011180LAC.html,10:30p,Seattle SuperSonics,86,Los Angeles Clippers,83,Box Score,,"12,271",
"Sun, Nov 19, 2000",/boxscores/200011190ORL.html,6:00p,Portland Trail Blazers,110,Orlando Magic,102,Box Score,OT,"14,524",
"Sun, Nov 19, 2000",/boxscores/200011190DET.html,7:00p,Charlotte Hornets,105,Detroit Pistons,96,Box Score,,"13,088",
"Sun, Nov 19, 2000",/boxscores/200011190NYK.html,8:00p,Golden State Warriors,71,New York Knicks,88,Box Score,,"19,763",
"Sun, Nov 19, 2000",/boxscores/200011190LAL.html,9:30p,Chicago Bulls,96,Los Angeles Lakers,104,Box Score,,"18,997",
"Mon, Nov 20, 2000",/boxscores/200011200BOS.html,7:00p,Philadelphia 76ers,114,Boston Celtics,90,Box Score,,"15,209",
"Mon, Nov 20, 2000",/boxscores/200011200TOR.html,7:00p,Charlotte Hornets,100,Toronto Raptors,64,Box Score,,"17,767",
"Mon, Nov 20, 2000",/boxscores/200011200UTA.html,9:00p,Dallas Mavericks,107,Utah Jazz,98,Box Score,,"18,869",
"Mon, Nov 20, 2000",/boxscores/200011200VAN.html,10:00p,Denver Nuggets,95,Vancouver Grizzlies,92,Box Score,,"11,809",
"Mon, Nov 20, 2000",/boxscores/200011200LAC.html,10:30p,New Jersey Nets,86,Los Angeles Clippers,85,Box Score,,"9,803",
"Tue, Nov 21, 2000",/boxscores/200011210IND.html,7:00p,Houston Rockets,101,Indiana Pacers,89,Box Score,,"16,611",
"Tue, Nov 21, 2000",/boxscores/200011210WAS.html,7:00p,Portland Trail Blazers,104,Washington Wizards,94,Box Score,,"14,113",
"Tue, Nov 21, 2000",/boxscores/200011210CLE.html,7:30p,Detroit Pistons,98,Cleveland Cavaliers,117,Box Score,,"12,683",
"Tue, Nov 21, 2000",/boxscores/200011210DAL.html,8:00p,Seattle SuperSonics,116,Dallas Mavericks,110,Box Score,,"15,100",
"Tue, Nov 21, 2000",/boxscores/200011210ORL.html,8:00p,New York Knicks,85,Orlando Magic,84,Box Score,,"14,673",
