,Season,Lg,Age,Ht,Wt,G,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
52,1972-73,NBA,26.7,6-6,205.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.0,0.758,0.0,0.456,0.0,0.0,0.198,0.0
53,1971-72,NBA,26.6,6-6,206.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.748,0.0,0.455,0.0,0.0,0.244,0.0
54,1970-71,NBA,26.6,6-6,205.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449,0.0,0.745,0.0,0.449,0.0,0.0,0.248,0.0
55,1969-70,NBA,26.8,6-6,205.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.751,0.0,0.46,0.0,0.0,0.255,0.0
56,1968-69,NBA,26.9,6-6,207.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.441,0.0,0.714,0.0,0.441,0.0,0.0,0.252,0.0
57,1967-68,NBA,26.8,6-6,206.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.0,0.72,0.0,0.446,0.0,0.0,0.265,0.0
58,1966-67,NBA,26.6,6-6,206.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.441,0.0,0.732,0.0,0.441,0.0,0.0,0.257,0.0
59,1965-66,NBA,26.6,6-6,207.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.0,0.727,0.0,0.433,0.0,0.0,0.262,0.0
60,1964-65,NBA,26.4,6-6,208.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.721,0.0,0.426,0.0,0.0,0.257,0.0
61,1963-64,NBA,26.4,6-6,207.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.0,0.722,0.0,0.433,0.0,0.0,0.255,0.0
62,1962-63,NBA,26.3,6-6,205.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.441,0.0,0.727,0.0,0.441,0.0,0.0,0.258,0.0
63,1961-62,NBA,26.4,6-5,205.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.727,0.0,0.426,0.0,0.0,0.25,0.0
64,1960-61,NBA,26.4,6-5,205.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.0,0.733,0.0,0.415,0.0,0.0,0.25,0.0
67,1959-60,NBA,26.5,6-5,204.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.735,0.0,0.41,0.0,0.0,0.242,0.0
68,1958-59,NBA,26.4,6-5,202.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.0,0.756,0.0,0.395,0.0,0.0,0.268,0.0
69,1957-58,NBA,26.8,6-5,201.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.383,0.0,0.746,0.0,0.383,0.0,0.0,0.281,0.0
70,1956-57,NBA,26.2,6-5,201.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.751,0.0,0.38,0.0,0.0,0.293,0.0
71,1955-56,NBA,26.3,6-5,199.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,0.0,0.745,0.0,0.387,0.0,0.0,0.31,0.0
72,1954-55,NBA,26.7,6-5,197.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.0,0.738,0.0,0.385,0.0,0.0,0.307,0.0
73,1953-54,NBA,26.4,6-4,197.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,0.0,0.709,0.0,0.372,0.0,0.0,0.311,0.0
74,1952-53,NBA,26.4,6-4,196.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.716,0.0,0.37,0.0,0.0,0.333,0.0
75,1951-52,NBA,26.3,6-4,195.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367,0.0,0.735,0.0,0.367,0.0,0.0,0.302,0.0
76,1950-51,NBA,0.0,,0.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357,0.0,0.733,0.0,0.357,0.0,0.0,0.293,0.0
77,1949-50,NBA,0.0,,0.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.714,0.0,0.34,0.0,0.0,0.284,0.0
78,1948-49,BAA,0.0,,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.0,0.703,0.0,0.327,0.0,0.0,0.248,0.0
79,1947-48,BAA,0.0,,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284,0.0,0.675,0.0,0.284,0.0,0.0,0.19,0.0
80,1946-47,BAA,0.0,,0.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279,0.0,0.641,0.0,0.279,0.0,0.0,0.171,0.0
