b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Fri, Nov 19, 1982",/boxscores/198211190SEA.html,,Cleveland Cavaliers,94,Seattle SuperSonics,101,Box Score,,"14,190",
"Sat, Nov 20, 1982",/boxscores/198211200CHI.html,,Detroit Pistons,128,Chicago Bulls,131,Box Score,,"12,178",
"Sat, Nov 20, 1982",/boxscores/198211200DAL.html,,Kansas City Kings,127,Dallas Mavericks,120,Box Score,,"9,911",
"Sat, Nov 20, 1982",/boxscores/198211200NYK.html,,Boston Celtics,97,New York Knicks,83,Box Score,,"16,252",
"Sat, Nov 20, 1982",/boxscores/198211200PHO.html,,Atlanta Hawks,80,Phoenix Suns,91,Box Score,,"11,009",
"Sat, Nov 20, 1982",/boxscores/198211200SAS.html,,Golden State Warriors,112,San Antonio Spurs,134,Box Score,,"8,369",
"Sat, Nov 20, 1982",/boxscores/198211200SDC.html,,Washington Bullets,95,San Diego Clippers,87,Box Score,,"4,745",
"Sun, Nov 21, 1982",/boxscores/198211210IND.html,,Milwaukee Bucks,109,Indiana Pacers,98,Box Score,,"4,202",
"Sun, Nov 21, 1982",/boxscores/198211210LAL.html,,Denver Nuggets,129,Los Angeles Lakers,143,Box Score,,"17,505",
"Sun, Nov 21, 1982",/boxscores/198211210POR.html,,Cleveland Cavaliers,79,Portland Trail Blazers,129,Box Score,,"12,666",
"Sun, Nov 21, 1982",/boxscores/198211210SEA.html,,New Jersey Nets,111,Seattle SuperSonics,91,Box Score,,"13,353",
"Tue, Nov 23, 1982",/boxscores/198211230ATL.html,,Chicago Bulls,102,Atlanta Hawks,132,Box Score,,"6,341",
"Tue, Nov 23, 1982",/boxscores/198211230CLE.html,,Utah Jazz,121,Cleveland Cavaliers,99,Box Score,,"2,163",
"Tue, Nov 23, 1982",/boxscores/198211230GSW.html,,New Jersey Nets,110,Golden State Warriors,103,Box Score,,"9,200",
"Tue, Nov 23, 1982",/boxscores/198211230HOU.html,,Detroit Pistons,128,Houston Rockets,106,Box Score,,"8,960",
"Tue, Nov 23, 1982",/boxscores/198211230NYK.html,,Indiana Pacers,94,New York Knicks,90,Box Score,,"7,845",
"Tue, Nov 23, 1982",/boxscores/198211230PHI.html,,Portland Trail Blazers,106,Philadelphia 76ers,103,Box Score,,"13,775",
"Tue, Nov 23, 1982",/boxscores/198211230SAS.html,,Denver Nuggets,126,San Antonio Spurs,136,Box Score,,"8,518",
"Wed, Nov 24, 1982",/boxscores/198211240BOS.html,,Portland Trail Blazers,95,Boston Celtics,104,Box Score,,"15,320",
"Wed, Nov 24, 1982",/boxscores/198211240DAL.html,,Chicago Bulls,127,Dallas Mavericks,133,Box Score,,"9,594",
"Wed, Nov 24, 1982",/boxscores/198211240DEN.html,,San Antonio Spurs,123,Denver Nuggets,129,Box Score,,"13,011",
"Wed, Nov 24, 1982",/boxscores/198211240IND.html,,Philadelphia 76ers,121,Indiana Pacers,106,Box Score,,"7,147",
"Wed, Nov 24, 1982",/boxscores/198211240KCK.html,,Detroit Pistons,112,Kansas City Kings,122,Box Score,,"8,225",
"Wed, Nov 24, 1982",/boxscores/198211240MIL.html,,Utah Jazz,106,Milwaukee Bucks,119,Box Score,,"9,385",
"Wed, Nov 24, 1982",/boxscores/198211240PHO.html,,Washington Bullets,106,Phoenix Suns,93,Box Score,,"9,764",
"Wed, Nov 24, 1982",/boxscores/198211240SDC.html,,New Jersey Nets,109,San Diego Clippers,114,Box Score,,"3,064",
"Wed, Nov 24, 1982",/boxscores/198211240SEA.html,,Los Angeles Lakers,111,Seattle SuperSonics,93,Box Score,,"26,230",
"Thu, Nov 25, 1982",/boxscores/198211250HOU.html,,Kansas City Kings,88,Houston Rockets,79,Box Score,,"8,583",
"Fri, Nov 26, 1982",/boxscores/198211260BOS.html,,Utah Jazz,103,Boston Celtics,137,Box Score,,"15,320",
"Fri, Nov 26, 1982",/boxscores/198211260CLE.html,,Philadelphia 76ers,120,Cleveland Cavaliers,102,Box Score,,"10,105",
"Fri, Nov 26, 1982",/boxscores/198211260DET.html,,Portland Trail Blazers,118,Detroit Pistons,132,Box Score,OT,,
"Fri, Nov 26, 1982",/boxscores/198211260IND.html,,Washington Bullets,87,Indiana Pacers,85,Box Score,,"3,621",
"Fri, Nov 26, 1982",/boxscores/198211260PHO.html,,New Jersey Nets,99,Phoenix Suns,110,Box Score,,"11,678",
"Fri, Nov 26, 1982",/boxscores/198211260SAS.html,,Chicago Bulls,120,San Antonio Spurs,122,Box Score,,"9,106",
"Fri, Nov 26, 1982",/boxscores/198211260SDC.html,,Los Angeles Lakers,117,San Diego Clippers,115,Box Score,,"12,077",
"Fri, Nov 26, 1982",/boxscores/198211260SEA.html,,Denver Nuggets,106,Seattle SuperSonics,127,Box Score,,,
"Sat, Nov 27, 1982",/boxscores/198211270ATL.html,,Indiana Pacers,98,Atlanta Hawks,117,Box Score,,"6,993",
"Sat, Nov 27, 1982",/boxscores/198211270DAL.html,,San Antonio Spurs,107,Dallas Mavericks,106,Box Score,,"15,517",
"Sat, Nov 27, 1982",/boxscores/198211270DEN.html,,San Diego Clippers,125,Denver Nuggets,141,Box Score,,"10,813",
"Sat, Nov 27, 1982",/boxscores/198211270GSW.html,,Seattle SuperSonics,133,Golden State Warriors,118,Box Score,,"12,968",
"Sat, Nov 27, 1982",/boxscores/198211270HOU.html,,Chicago Bulls,99,Houston Rockets,108,Box Score,,"8,257",
"Sat, Nov 27, 1982",/boxscores/198211270KCK.html,,Phoenix Suns,99,Kansas City Kings,105,Box Score,,"8,107",
"Sat, Nov 27, 1982",/boxscores/198211270MIL.html,,New York Knicks,96,Milwaukee Bucks,109,Box Score,,"11,052",
"Sat, Nov 27, 1982",/boxscores/198211270PHI.html,,Utah Jazz,113,Philadelphia 76ers,126,Box Score,,"13,008",
"Sat, Nov 27, 1982",/boxscores/198211270WSB.html,,Portland Trail Blazers,90,Washington Bullets,107,Box Score,,"8,555",
"Sun, Nov 28, 1982",/boxscores/198211280BOS.html,,Milwaukee Bucks,109,Boston Celtics,124,Box Score,,"15,320",
"Sun, Nov 28, 1982",/boxscores/198211280CLE.html,,Kansas City Kings,110,Cleveland Cavaliers,118,Box Score,,"1,989",
"Sun, Nov 28, 1982",/boxscores/198211280LAL.html,,Golden State Warriors,127,Los Angeles Lakers,142,Box Score,,"16,125",
"Tue, Nov 30, 1982",/boxscores/198211300ATL.html,,Philadelphia 76ers,97,Atlanta Hawks,111,Box Score,,"12,044",
"Tue, Nov 30, 1982",/boxscores/198211300BOS.html,,Detroit Pistons,123,Boston Celtics,116,Box Score,,"11,762","at Hartford, CT"
"Tue, Nov 30, 1982",/boxscores/198211300DEN.html,,Dallas Mavericks,140,Denver Nuggets,129,Box Score,,"8,799",
"Tue, Nov 30, 1982",/boxscores/198211300GSW.html,,Phoenix Suns,98,Golden State Warriors,110,Box Score,,"6,759",
"Tue, Nov 30, 1982",/boxscores/198211300MIL.html,,Cleveland Cavaliers,78,Milwaukee Bucks,88,Box Score,,"8,765",
"Tue, Nov 30, 1982",/boxscores/198211300NYK.html,,Utah Jazz,93,New York Knicks,124,Box Score,,"7,634",
"Tue, Nov 30, 1982",/boxscores/198211300POR.html,,San Diego Clippers,114,Portland Trail Blazers,121,Box Score,,"12,666",
"Tue, Nov 30, 1982",/boxscores/198211300SAS.html,,Los Angeles Lakers,114,San Antonio Spurs,117,Box Score,,"12,115",Game protested and completed on 1983-04-13
"Tue, Nov 30, 1982",/boxscores/198211300NJN.html,7:42p,Kansas City Kings,103,New Jersey Nets,112,Box Score,,"9,662",
