,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
211,John Lambert,PF,29.0,KCK,42.0,1.0,493.0,4.4,10.2,0.432,0.1,0.4,0.167,4.3,9.7,0.444,1.5,2.0,0.75,2.6,6.6,9.3,1.8,0.9,0.7,2.8,5.8,10.4
212,John Lambert,PF,29.0,SAS,21.0,6.0,271.0,3.5,7.7,0.448,0.0,0.1,0.0,3.5,7.6,0.456,1.7,1.9,0.929,2.5,4.3,6.8,1.7,0.8,0.8,1.3,5.7,8.6
213,Jeff Lamp,SF,22.0,POR,54.0,0.0,617.0,5.8,11.4,0.51,0.0,0.1,0.0,5.8,11.4,0.513,2.9,3.6,0.82,1.4,2.3,3.7,1.6,0.9,0.1,2.6,4.8,14.6
214,Mark Landsberger,PF,26.0,LAL,75.0,1.0,1134.0,4.6,10.4,0.438,0.0,0.1,0.0,4.6,10.4,0.44,1.0,2.1,0.508,5.2,7.5,12.7,1.0,0.3,0.2,1.6,4.3,10.2
215,Bob Lanier*,C,33.0,MIL,74.0,72.0,1986.0,7.4,13.2,0.558,0.0,0.0,0.0,7.4,13.2,0.56,3.3,4.4,0.752,1.7,5.4,7.0,4.0,1.3,1.0,3.0,3.8,18.1
216,Allen Leavell,PG,24.0,HOU,79.0,61.0,2150.0,6.2,13.3,0.467,0.2,0.5,0.29,6.0,12.8,0.474,1.9,2.3,0.852,0.8,2.0,2.8,7.7,2.5,0.3,2.6,3.0,14.5
217,Rock Lee,C,26.0,SDC,2.0,0.0,10.0,3.6,7.2,0.5,0.0,0.0,0.0,3.6,7.2,0.5,0.0,14.4,0.0,0.0,3.6,3.6,7.2,0.0,0.0,0.0,10.8,7.2
218,Ron Lee,PG,29.0,DET,81.0,7.0,1467.0,2.2,6.0,0.358,0.4,1.4,0.305,1.7,4.6,0.374,2.1,2.9,0.706,0.9,2.9,3.8,7.7,2.8,0.5,3.0,5.4,6.8
219,Ronnie Lester,PG,23.0,CHI,75.0,74.0,2252.0,5.3,10.5,0.501,0.1,0.1,0.5,5.2,10.4,0.501,3.3,4.1,0.813,1.2,2.2,3.4,5.8,1.3,0.2,3.0,2.5,13.9
220,Alton Lister,C,23.0,MIL,80.0,23.0,1186.0,4.5,8.7,0.519,0.0,0.0,0.0,4.5,8.7,0.519,1.9,3.7,0.52,3.3,8.5,11.7,2.5,0.5,3.6,3.9,7.3,11.0
221,Lewis Lloyd,SG,22.0,GSW,16.0,0.0,95.0,9.5,17.1,0.556,0.0,0.0,0.0,9.5,17.1,0.556,2.7,4.2,0.636,3.4,2.7,6.1,2.3,1.9,0.4,5.3,7.6,21.6
222,Scott Lloyd,PF,29.0,DAL,74.0,17.0,1047.0,3.7,9.8,0.379,0.1,0.1,0.5,3.6,9.7,0.377,2.4,3.1,0.758,2.1,3.5,5.6,2.3,0.5,0.2,2.0,6.0,9.9
223,Kevin Loder,SF,22.0,KCK,71.0,13.0,1139.0,6.6,14.2,0.464,0.0,0.3,0.0,6.6,13.8,0.476,2.4,3.4,0.72,2.2,4.0,6.2,2.8,1.1,0.9,2.1,4.6,15.6
224,John Long,SG,25.0,DET,69.0,66.0,2211.0,10.4,21.1,0.492,0.0,0.2,0.133,10.3,20.8,0.496,3.9,4.5,0.865,1.5,2.6,4.2,2.4,1.1,0.4,2.7,2.8,24.7
226,John Lucas,PG,28.0,WSB,79.0,53.0,1940.0,4.9,11.5,0.426,0.0,0.4,0.091,4.8,11.1,0.438,2.6,3.3,0.784,0.7,2.3,3.1,10.2,1.8,0.1,2.9,1.9,12.4
227,Maurice Lucas,PF,29.0,NYK,80.0,74.0,2671.0,6.8,13.5,0.504,0.0,0.0,0.0,6.8,13.5,0.506,3.4,4.7,0.725,3.7,8.5,12.2,2.4,0.9,0.9,2.3,4.2,17.0
228,Ollie Mack,SG,24.0,DAL,13.0,3.0,150.0,4.6,14.2,0.322,0.0,0.5,0.0,4.6,13.7,0.333,1.4,1.9,0.75,1.9,2.4,4.3,3.4,1.2,0.2,1.0,1.4,10.6
229,Rudy Macklin,SF,23.0,ATL,79.0,32.0,1516.0,5.0,11.5,0.434,0.0,0.1,0.0,5.0,11.4,0.437,3.2,4.1,0.775,2.7,3.6,6.2,1.1,0.9,0.5,2.7,5.3,13.2
230,Kyle Macy,PG,24.0,PHO,82.0,72.0,2845.0,6.1,12.0,0.514,0.5,1.3,0.39,5.7,10.7,0.529,1.9,2.1,0.899,1.0,2.3,3.3,4.9,1.8,0.1,1.6,2.3,14.7
231,Rick Mahorn,PF,23.0,WSB,80.0,80.0,2664.0,5.6,11.0,0.507,0.0,0.0,0.0,5.6,11.0,0.509,2.0,3.2,0.632,2.0,7.5,9.5,2.0,0.8,1.9,2.2,4.7,13.2
232,Moses Malone*,C,26.0,HOU,81.0,81.0,3398.0,10.0,19.3,0.519,0.0,0.1,0.0,10.0,19.2,0.52,6.7,8.8,0.762,5.9,6.7,12.6,1.5,0.8,1.3,3.1,2.2,26.7
233,Wes Matthews,PG,22.0,ATL,47.0,5.0,837.0,5.6,12.8,0.44,0.1,0.3,0.25,5.5,12.5,0.445,2.6,3.4,0.759,0.8,1.7,2.5,6.0,2.3,0.1,2.7,5.5,13.9
