,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
99,Bill Sharman*,SG,32.0,BOS,72.0,2382.0,16.8,0.476,0.0,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.1,7.6,0.154,0.0,0.0,0.0,0.0
100,Gene Shue,PG,27.0,DET,72.0,2745.0,14.6,0.458,0.0,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.6,5.6,0.098,0.0,0.0,0.0,0.0
101,Ron Sobie,PG,24.0,NYK,50.0,857.0,13.5,0.436,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.9,0.05,0.0,0.0,0.0,0.0
102,Guy Sparrow,PF,26.0,TOT,67.0,842.0,8.9,0.36,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,0.7,-0.9,-0.051,0.0,0.0,0.0,0.0
103,Guy Sparrow,F,26.0,NYK,44.0,607.0,8.8,0.355,0.0,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,0.4,-0.9,-0.072,0.0,0.0,0.0,0.0
104,Guy Sparrow,PF,26.0,PHW,23.0,235.0,9.2,0.376,0.0,0.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.3,0.0,0.003,0.0,0.0,0.0,0.0
105,Larry Staverman,PF,22.0,CIN,57.0,681.0,15.2,0.513,0.0,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.3,1.6,0.112,0.0,0.0,0.0,0.0
106,Bennie Swain,PF,25.0,BOS,58.0,708.0,12.3,0.453,0.0,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.4,1.9,0.128,0.0,0.0,0.0,0.0
107,Lou Tsioropoulos,SF,28.0,BOS,35.0,488.0,5.6,0.354,0.0,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.7,0.0,-0.005,0.0,0.0,0.0,0.0
108,Jack Twyman*,SF,24.0,CIN,72.0,2713.0,21.3,0.479,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,1.0,7.3,0.129,0.0,0.0,0.0,0.0
109,Charlie Tyra,C,23.0,NYK,69.0,1586.0,12.0,0.442,0.0,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.9,1.5,0.046,0.0,0.0,0.0,0.0
110,Win Wilfong,PG,25.0,STL,63.0,741.0,8.3,0.405,0.0,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.5,0.2,0.015,0.0,0.0,0.0,0.0
111,George Yardley*,SF,30.0,TOT,61.0,1839.0,20.5,0.495,0.0,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.8,6.8,0.177,0.0,0.0,0.0,0.0
112,George Yardley*,SF,30.0,DET,46.0,1419.0,20.5,0.488,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1.4,5.0,0.168,0.0,0.0,0.0,0.0
113,George Yardley*,SF,30.0,SYR,15.0,420.0,20.5,0.525,0.0,0.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.4,1.8,0.207,0.0,0.0,0.0,0.0
