,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
49,Terry Catledge,PF,23.0,WSB,78.0,77.0,2149.0,9.2,18.6,0.495,0.0,0.1,0.0,9.2,18.5,0.497,4.4,7.5,0.594,5.5,7.0,12.5,1.2,1.0,0.3,3.2,4.3,22.9,0.0,105.0,109.0
50,Tom Chambers,PF,27.0,SEA,82.0,82.0,3018.0,10.3,22.6,0.456,0.8,2.3,0.372,9.5,20.3,0.466,8.4,9.8,0.849,2.5,6.0,8.5,3.8,1.3,0.8,4.2,4.8,29.8,0.0,112.0,111.0
51,Maurice Cheeks*,PG,30.0,PHI,68.0,68.0,2624.0,7.8,14.8,0.527,0.1,0.3,0.235,7.7,14.5,0.533,4.3,5.5,0.777,0.9,3.2,4.0,10.1,3.4,0.3,3.3,2.0,19.9,0.0,118.0,108.0
52,Fred Cofield,PG,25.0,CHI,5.0,0.0,27.0,3.7,20.4,0.182,0.0,1.9,0.0,3.7,18.6,0.2,0.0,0.0,0.0,1.9,7.4,9.3,7.4,3.7,0.0,1.9,1.9,7.4,0.0,61.0,104.0
53,Ben Coleman,C,25.0,NJN,68.0,7.0,1029.0,8.3,14.3,0.581,0.0,0.0,0.0,8.3,14.3,0.583,4.0,5.5,0.727,4.5,8.7,13.2,1.7,1.5,1.4,4.3,9.2,20.7,0.0,108.0,108.0
54,Don Collins,SF,28.0,MIL,6.0,0.0,57.0,8.4,23.5,0.357,0.0,0.0,0.0,8.4,23.5,0.357,4.2,5.9,0.714,9.2,3.4,12.6,1.7,1.7,0.8,4.2,9.2,21.0,0.0,91.0,108.0
55,Steve Colter,PG,24.0,TOT,70.0,31.0,1322.0,6.3,14.9,0.426,0.2,0.6,0.235,6.2,14.3,0.434,3.1,4.0,0.766,0.9,3.2,4.1,7.9,2.1,0.5,2.6,3.7,15.9,0.0,104.0,110.0
56,Steve Colter,PG,24.0,CHI,27.0,18.0,473.0,5.2,15.0,0.345,0.0,1.0,0.0,5.2,14.1,0.368,3.5,4.1,0.846,1.0,3.5,4.4,10.0,2.0,0.6,3.4,4.0,13.9,0.0,95.0,109.0
57,Steve Colter,PG,24.0,PHI,43.0,13.0,849.0,7.0,14.8,0.471,0.2,0.5,0.5,6.7,14.4,0.47,2.8,4.0,0.721,0.8,3.0,3.8,6.7,2.1,0.3,2.2,3.5,17.0,0.0,110.0,111.0
58,Darwin Cook,SG,28.0,WSB,82.0,2.0,1420.0,8.9,21.0,0.426,0.1,0.8,0.087,8.9,20.2,0.439,2.8,3.5,0.796,1.6,3.3,4.9,5.1,3.3,0.6,3.2,4.6,20.7,0.0,97.0,107.0
59,Michael Cooper,SG,30.0,LAL,82.0,2.0,2253.0,6.8,15.4,0.438,1.9,4.8,0.385,4.9,10.6,0.461,2.6,3.1,0.851,1.2,4.1,5.3,7.8,1.6,0.9,2.1,4.2,18.0,0.0,117.0,108.0
60,Wayne Cooper,C,30.0,DEN,69.0,64.0,1561.0,6.8,15.2,0.448,0.0,0.1,0.0,6.8,15.1,0.451,2.3,3.2,0.725,4.7,9.0,13.7,2.0,0.4,2.9,2.3,7.4,15.9,0.0,102.0,109.0
