,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
50,Patrick Beverley,PG,31.0,LAC,40.0,40.0,1121.0,125.0,291.0,0.43,64.0,176.0,0.364,61.0,115.0,0.53,0.54,24.0,38.0,0.632,51.0,180.0,231.0,159.0,49.0,25.0,54.0,127.0,338.0
51,Khem Birch,C,27.0,ORL,38.0,24.0,773.0,56.0,113.0,0.496,0.0,1.0,0.0,56.0,112.0,0.5,0.496,41.0,67.0,0.612,70.0,110.0,180.0,35.0,16.0,21.0,23.0,73.0,153.0
52,Goga Bitadze,C,20.0,IND,42.0,2.0,362.0,52.0,108.0,0.481,4.0,25.0,0.16,48.0,83.0,0.578,0.5,20.0,29.0,0.69,22.0,65.0,87.0,19.0,3.0,27.0,21.0,50.0,128.0
53,Bismack Biyombo,C,27.0,CHO,45.0,26.0,866.0,130.0,240.0,0.542,0.0,0.0,0.0,130.0,240.0,0.542,0.542,78.0,127.0,0.614,107.0,156.0,263.0,39.0,9.0,37.0,40.0,97.0,338.0
54,Nemanja Bjelica,PF,31.0,SAC,54.0,51.0,1535.0,251.0,518.0,0.485,111.0,247.0,0.449,140.0,271.0,0.517,0.592,52.0,61.0,0.852,90.0,254.0,344.0,149.0,47.0,32.0,79.0,167.0,665.0
55,Eric Bledsoe,PG,30.0,MIL,46.0,46.0,1246.0,265.0,552.0,0.48,56.0,165.0,0.339,209.0,387.0,0.54,0.531,135.0,163.0,0.828,35.0,184.0,219.0,246.0,43.0,22.0,110.0,101.0,721.0
56,Bogdan Bogdanovic,SG,27.0,SAC,43.0,10.0,1213.0,225.0,524.0,0.429,112.0,306.0,0.366,113.0,218.0,0.518,0.536,58.0,83.0,0.699,15.0,121.0,136.0,134.0,40.0,11.0,77.0,91.0,620.0
57,Bojan Bogdanovic,SF,30.0,UTA,53.0,53.0,1763.0,367.0,808.0,0.454,169.0,398.0,0.425,198.0,410.0,0.483,0.559,209.0,233.0,0.897,30.0,188.0,218.0,112.0,30.0,6.0,135.0,94.0,1112.0
58,Jonah Bolden,PF,24.0,TOT,5.0,0.0,40.0,4.0,9.0,0.444,0.0,2.0,0.0,4.0,7.0,0.571,0.444,2.0,4.0,0.5,3.0,5.0,8.0,0.0,2.0,2.0,2.0,8.0,10.0
59,Jonah Bolden,PF,24.0,PHI,4.0,0.0,14.0,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,4.0
60,Jonah Bolden,PF,24.0,PHO,1.0,0.0,26.0,2.0,6.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,0.333,2.0,2.0,1.0,3.0,4.0,7.0,0.0,1.0,2.0,0.0,4.0,6.0
61,Marques Bolden,C,21.0,CLE,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
62,Jordan Bone,PG,22.0,DET,9.0,0.0,48.0,3.0,17.0,0.176,0.0,8.0,0.0,3.0,9.0,0.333,0.176,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,0.0,2.0,6.0,6.0
63,Isaac Bonga,SF,20.0,WAS,48.0,33.0,850.0,84.0,157.0,0.535,18.0,43.0,0.419,66.0,114.0,0.579,0.592,45.0,57.0,0.789,51.0,105.0,156.0,53.0,33.0,18.0,33.0,113.0,231.0
64,Devin Booker,SG,23.0,PHO,52.0,52.0,1866.0,463.0,933.0,0.496,101.0,282.0,0.358,362.0,651.0,0.556,0.55,347.0,377.0,0.92,26.0,192.0,218.0,329.0,39.0,13.0,203.0,156.0,1374.0
65,Chris Boucher,PF,27.0,TOR,47.0,0.0,607.0,103.0,223.0,0.462,22.0,81.0,0.272,81.0,142.0,0.57,0.511,69.0,89.0,0.775,81.0,120.0,201.0,20.0,17.0,41.0,20.0,87.0,297.0
66,Brian Bowen,SG,21.0,IND,3.0,0.0,10.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
67,Ky Bowman,PG,22.0,GSW,40.0,12.0,875.0,110.0,275.0,0.4,31.0,95.0,0.326,79.0,180.0,0.439,0.456,29.0,35.0,0.829,20.0,79.0,99.0,118.0,36.0,6.0,55.0,89.0,280.0
68,Avery Bradley,SG,29.0,LAL,39.0,34.0,911.0,136.0,296.0,0.459,44.0,119.0,0.37,92.0,177.0,0.52,0.534,16.0,20.0,0.8,17.0,70.0,87.0,45.0,31.0,3.0,37.0,91.0,332.0
69,Tony Bradley,C,22.0,UTA,41.0,2.0,420.0,80.0,123.0,0.65,0.0,0.0,0.0,80.0,123.0,0.65,0.65,21.0,34.0,0.618,71.0,104.0,175.0,11.0,10.0,16.0,21.0,83.0,181.0
70,Jarrell Brantley,PF,23.0,UTA,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,2.0,1.0,1.0,0.0
71,Ignas Brazdeikis,SF,21.0,NYK,9.0,0.0,53.0,6.0,22.0,0.273,1.0,9.0,0.111,5.0,13.0,0.385,0.295,4.0,5.0,0.8,2.0,3.0,5.0,4.0,0.0,1.0,2.0,3.0,17.0
