,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
88,Dave Piontek,SF,25.0,STL,25.0,0.0,28.9,3.0,7.9,0.381,0.0,0.0,0.0,3.0,7.9,0.381,0.381,1.8,3.2,0.563,0.0,0.0,4.8,1.4,0.0,0.0,0.0,2.7,7.8
89,Cal Ramsey,SF,22.0,TOT,11.0,0.0,17.7,3.5,8.7,0.406,0.0,0.0,0.0,3.5,8.7,0.406,0.406,1.7,3.0,0.576,0.0,0.0,6.0,0.8,0.0,0.0,0.0,2.3,8.8
90,Cal Ramsey,SF,22.0,STL,4.0,0.0,8.8,1.8,4.8,0.368,0.0,0.0,0.0,1.8,4.8,0.368,0.368,0.8,1.0,0.75,0.0,0.0,4.8,0.0,0.0,0.0,0.0,1.0,4.3
91,Cal Ramsey,SF,22.0,NYK,7.0,0.0,22.9,4.6,11.0,0.416,0.0,0.0,0.0,4.6,11.0,0.416,0.416,2.3,4.1,0.552,0.0,0.0,6.7,1.3,0.0,0.0,0.0,3.0,11.4
92,Frank Ramsey*,SG,28.0,BOS,73.0,0.0,27.5,5.8,14.5,0.397,0.0,0.0,0.0,5.8,14.5,0.397,0.397,3.7,4.8,0.787,0.0,0.0,6.9,1.9,0.0,0.0,0.0,3.4,15.3
93,Jim Ray,G,26.0,SYR,4.0,0.0,5.3,0.3,1.5,0.167,0.0,0.0,0.0,0.3,1.5,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8,0.5
94,Hub Reed,PF-C,23.0,TOT,71.0,0.0,25.6,3.8,8.5,0.449,0.0,0.0,0.0,3.8,8.5,0.449,0.449,1.9,2.6,0.728,0.0,0.0,8.6,1.0,0.0,0.0,0.0,3.2,9.5
95,Hub Reed,C,23.0,STL,2.0,0.0,8.5,0.5,1.5,0.333,0.0,0.0,0.0,0.5,1.5,0.333,0.333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
96,Hub Reed,PF,23.0,CIN,69.0,0.0,26.1,3.9,8.7,0.45,0.0,0.0,0.0,3.9,8.7,0.45,0.45,1.9,2.7,0.728,0.0,0.0,8.9,1.0,0.0,0.0,0.0,3.3,9.7
97,John Richter,C,22.0,BOS,66.0,0.0,12.2,1.7,5.0,0.34,0.0,0.0,0.0,1.7,5.0,0.34,0.34,0.9,1.8,0.504,0.0,0.0,4.7,0.4,0.0,0.0,0.0,2.4,4.3
98,Guy Rodgers*,PG,24.0,PHW,68.0,0.0,36.5,5.0,12.8,0.389,0.0,0.0,0.0,5.0,12.8,0.389,0.389,1.6,2.7,0.613,0.0,0.0,5.8,7.1,0.0,0.0,0.0,2.9,11.6
99,Phil Rollins,PG,26.0,CIN,72.0,0.0,17.2,2.2,5.4,0.409,0.0,0.0,0.0,2.2,5.4,0.409,0.409,1.1,1.8,0.606,0.0,0.0,2.5,3.2,0.0,0.0,0.0,2.1,5.5
100,Joe Ruklick,PF,21.0,PHW,39.0,0.0,9.8,2.2,5.5,0.397,0.0,0.0,0.0,2.2,5.5,0.397,0.397,0.7,0.9,0.722,0.0,0.0,3.5,0.6,0.0,0.0,0.0,1.8,5.0
102,Bill Russell*,C,25.0,BOS,74.0,0.0,42.5,7.5,16.1,0.467,0.0,0.0,0.0,7.5,16.1,0.467,0.467,3.2,5.3,0.612,0.0,0.0,24.0,3.7,0.0,0.0,0.0,2.8,18.2
103,Woody Sauldsberry,PF,25.0,PHW,71.0,0.0,26.0,4.6,13.7,0.334,0.0,0.0,0.0,4.6,13.7,0.334,0.334,0.8,1.5,0.534,0.0,0.0,6.3,1.6,0.0,0.0,0.0,2.9,9.9
104,Dolph Schayes*,PF,31.0,SYR,75.0,0.0,36.5,7.7,19.2,0.401,0.0,0.0,0.0,7.7,19.2,0.401,0.401,7.1,8.0,0.893,0.0,0.0,12.8,3.4,0.0,0.0,0.0,3.5,22.5
105,Kenny Sears,PF,26.0,NYK,64.0,0.0,32.8,6.4,13.5,0.477,0.0,0.0,0.0,6.4,13.5,0.477,0.477,5.7,6.5,0.868,0.0,0.0,13.7,2.0,0.0,0.0,0.0,3.0,18.5
106,Frank Selvy,SG,27.0,TOT,62.0,0.0,21.1,3.3,8.4,0.393,0.0,0.0,0.0,3.3,8.4,0.393,0.393,2.5,3.4,0.736,0.0,0.0,2.8,1.8,0.0,0.0,0.0,1.6,9.1
107,Frank Selvy,SG,27.0,SYR,19.0,0.0,11.4,1.9,4.9,0.383,0.0,0.0,0.0,1.9,4.9,0.383,0.383,1.6,2.5,0.646,0.0,0.0,2.5,1.6,0.0,0.0,0.0,1.3,5.4
