,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
61,Don Chaney,SG,33.0,BOS,60.0,523.0,7.8,0.402,0.032,0.222,6.7,8.8,7.8,9.3,2.8,1.2,13.7,18.3,0.0,-0.4,0.8,0.4,0.033,-4.3,1.2,-3.1,-0.1
62,Maurice Cheeks*,PG,23.0,PHI,79.0,2623.0,15.9,0.589,0.014,0.349,3.2,7.6,5.5,28.2,3.3,0.7,22.1,14.9,0.0,3.8,4.1,7.9,0.145,0.5,2.0,2.4,2.9
63,Phil Chenier,SG,29.0,TOT,43.0,850.0,9.5,0.431,0.034,0.192,2.2,7.2,4.7,14.0,1.8,0.9,12.7,20.0,0.0,-0.6,0.6,0.0,0.002,-3.1,-0.5,-3.6,-0.3
64,Phil Chenier,SG,29.0,WSB,20.0,470.0,10.1,0.435,0.028,0.192,2.1,7.1,4.6,12.4,1.8,0.6,11.1,21.9,0.0,-0.3,0.4,0.0,0.004,-3.2,-0.4,-3.6,-0.2
65,Phil Chenier,SG,29.0,IND,23.0,380.0,8.9,0.423,0.044,0.193,2.4,7.3,4.8,15.9,1.8,1.4,15.1,17.6,0.0,-0.3,0.2,0.0,0.0,-3.0,-0.6,-3.6,-0.2
66,Jim Chones,C,30.0,LAL,82.0,2394.0,11.3,0.521,0.003,0.222,7.1,17.6,12.8,7.6,1.1,1.4,17.3,16.9,0.0,0.7,2.8,3.5,0.071,-2.0,-0.3,-2.4,-0.2
67,Jim Cleamons,PG,30.0,TOT,79.0,1789.0,10.8,0.519,0.069,0.251,3.0,5.7,4.3,20.4,1.5,0.3,17.9,13.4,0.0,1.3,1.0,2.3,0.063,-1.7,0.0,-1.7,0.2
68,Jim Cleamons,PG,30.0,NYK,22.0,254.0,11.1,0.496,0.116,0.217,4.2,3.9,4.1,18.7,2.3,0.4,18.4,14.0,0.0,0.2,0.1,0.3,0.048,-0.9,-0.3,-1.2,0.1
69,Jim Cleamons,PG,30.0,WSB,57.0,1535.0,10.7,0.523,0.06,0.257,2.8,5.9,4.3,20.7,1.3,0.3,17.8,13.3,0.0,1.2,0.9,2.1,0.065,-1.9,0.1,-1.8,0.1
70,Doug Collins,SG,28.0,PHI,36.0,963.0,13.6,0.533,0.002,0.302,3.4,6.8,5.2,15.1,1.5,0.4,15.0,22.7,0.0,0.9,1.0,1.9,0.094,-1.1,-0.8,-1.9,0.0
71,Jeff Cook,PF,23.0,PHO,66.0,904.0,14.4,0.546,0.011,0.469,11.2,18.0,14.6,12.2,1.4,1.1,17.6,17.7,0.0,1.1,1.3,2.4,0.126,-0.3,0.1,-0.2,0.4
72,Michael Cooper,SG,23.0,LAL,82.0,1973.0,12.5,0.563,0.035,0.247,6.1,6.5,6.3,13.5,2.0,1.0,18.1,15.9,0.0,2.2,1.8,4.0,0.097,-0.4,0.3,-0.1,0.9
73,Wayne Cooper,PF,23.0,GSW,79.0,1781.0,14.8,0.525,0.005,0.241,12.1,19.5,15.7,3.5,0.5,2.6,14.4,22.4,0.0,1.1,1.6,2.8,0.074,-1.6,-1.8,-3.5,-0.7
74,Hollis Copeland,SF,24.0,NYK,75.0,1142.0,11.0,0.526,0.005,0.234,6.6,8.3,7.4,8.7,2.4,1.2,17.1,16.5,0.0,0.5,0.8,1.2,0.052,-1.7,0.0,-1.8,0.1
75,Dave Corzine,C,23.0,WSB,78.0,826.0,10.3,0.457,0.0,0.315,12.5,20.4,16.4,9.7,0.5,2.0,19.6,14.6,0.0,-0.1,0.9,0.9,0.05,-3.1,0.2,-3.0,-0.2
76,John Coughran,SF,28.0,GSW,24.0,160.0,6.0,0.39,0.111,0.173,1.3,12.1,6.5,10.6,2.1,0.4,13.0,25.8,0.0,-0.4,0.1,-0.3,-0.086,-5.6,-0.9,-6.5,-0.3
77,Dave Cowens*,C,31.0,BOS,66.0,2159.0,14.8,0.477,0.013,0.131,6.6,20.7,13.8,13.4,1.5,1.6,9.9,20.1,0.0,1.9,3.6,5.4,0.121,-0.2,1.1,0.9,1.6
79,Charlie Criss,PG,31.0,ATL,81.0,1794.0,11.5,0.5,0.029,0.367,1.6,5.4,3.5,20.0,2.0,0.1,16.2,18.2,0.0,1.0,1.8,2.8,0.075,-1.4,0.0,-1.4,0.3
80,Terry Crosby,PG,23.0,KCK,4.0,28.0,3.5,0.615,0.0,0.5,0.0,4.0,1.9,30.0,0.0,0.0,50.6,14.1,0.0,0.0,0.0,0.0,-0.051,-4.4,-0.4,-4.8,0.0
81,Pat Cummings,C,23.0,MIL,71.0,900.0,15.3,0.552,0.0,0.332,10.1,18.4,14.4,8.2,1.1,1.0,14.9,22.0,0.0,1.2,1.2,2.5,0.131,-1.0,-0.6,-1.6,0.1
82,Bob Dandridge,SF,32.0,WSB,45.0,1457.0,14.8,0.492,0.015,0.209,4.3,12.7,8.5,18.2,0.9,1.3,13.4,24.9,0.0,0.5,1.2,1.7,0.056,0.2,-0.4,-0.2,0.7
83,Adrian Dantley*,SF,24.0,UTA,68.0,2674.0,24.3,0.635,0.002,0.415,8.3,14.0,11.3,12.3,1.8,0.3,13.5,27.8,0.0,9.5,1.1,10.5,0.189,5.3,-1.6,3.7,3.8
84,Brad Davis,PG,24.0,TOT,18.0,268.0,14.1,0.593,0.016,0.254,1.8,5.4,3.7,25.9,2.3,0.2,16.7,13.3,0.0,0.5,0.1,0.6,0.108,-0.6,-0.1,-0.7,0.1
85,Brad Davis,PG,24.0,IND,5.0,43.0,3.9,0.4,0.0,0.571,0.0,5.0,2.4,13.4,3.2,0.0,25.5,10.6,0.0,0.0,0.0,0.0,-0.013,-4.8,0.2,-4.5,0.0
86,Brad Davis,PG,24.0,UTA,13.0,225.0,16.0,0.62,0.018,0.214,2.2,5.5,3.9,28.3,2.2,0.3,15.2,13.8,0.0,0.6,0.0,0.6,0.131,0.2,-0.2,0.0,0.2
87,Harry Davis,SF,24.0,SAS,4.0,30.0,5.8,0.505,0.0,0.167,7.3,14.0,10.7,0.0,1.5,0.0,18.9,20.0,0.0,0.0,0.0,0.0,-0.03,-4.6,-0.4,-5.1,-0.1
88,Johnny Davis,PG,24.0,IND,82.0,2912.0,13.6,0.495,0.036,0.304,3.5,4.5,4.0,20.3,1.7,0.4,13.3,20.2,0.0,3.1,1.3,4.4,0.073,-0.4,-1.5,-2.0,0.0
89,Walter Davis,SF,25.0,PHO,75.0,2309.0,21.3,0.608,0.003,0.313,3.6,9.2,6.5,23.6,2.3,0.5,15.4,27.0,0.0,5.5,2.8,8.3,0.173,3.4,0.2,3.6,3.3
90,Darryl Dawkins,C,23.0,PHI,80.0,2541.0,14.6,0.548,0.006,0.308,8.7,19.6,14.5,8.5,0.9,3.0,17.6,20.5,0.0,1.3,4.3,5.7,0.107,-1.7,0.6,-1.2,0.5
91,Paul Dawkins,SF,22.0,UTA,57.0,776.0,11.0,0.492,0.017,0.16,6.6,12.0,9.4,14.8,2.1,0.7,19.1,22.0,0.0,-0.5,0.4,-0.1,-0.009,-2.9,-1.3,-4.2,-0.4
92,Greg Deane,SG,22.0,UTA,7.0,48.0,4.5,0.355,0.091,0.636,5.1,9.4,7.3,15.4,0.0,0.0,17.6,15.3,0.0,-0.1,0.0,-0.1,-0.07,-3.8,-1.0,-4.8,-0.1
93,Larry Demic,PF,22.0,NYK,82.0,1872.0,7.4,0.468,0.0,0.347,11.2,16.9,14.1,4.1,1.3,0.9,21.6,16.0,0.0,-1.4,1.3,-0.1,-0.002,-4.5,-1.6,-6.2,-2.0
94,Coby Dietrick,C,31.0,CHI,79.0,1830.0,12.1,0.494,0.018,0.236,6.4,15.7,11.1,16.4,2.3,1.6,16.9,14.8,0.0,0.8,2.1,2.9,0.076,-0.9,1.5,0.6,1.2
95,Leon Douglas,C,25.0,DET,70.0,1782.0,11.4,0.529,0.002,0.407,10.0,19.6,14.8,8.5,0.8,1.8,19.1,14.3,0.0,1.0,1.1,2.1,0.057,-2.1,-0.6,-2.8,-0.3
96,John Drew,SF,25.0,ATL,80.0,2306.0,17.8,0.532,0.006,0.547,9.4,12.5,11.0,7.4,1.9,0.6,14.1,30.2,0.0,3.3,3.1,6.4,0.134,0.6,-0.9,-0.3,1.0
97,Terry Duerod,SG,23.0,DET,67.0,1331.0,11.7,0.498,0.089,0.11,2.3,5.5,3.9,12.4,1.4,0.4,11.2,20.4,0.0,0.6,0.2,0.7,0.026,-1.5,-1.7,-3.3,-0.4
98,Mike Dunleavy,PG,25.0,HOU,51.0,1036.0,12.9,0.542,0.063,0.42,2.7,8.1,5.3,26.7,1.8,0.2,22.5,18.6,0.0,0.9,0.5,1.4,0.065,-0.7,-0.8,-1.5,0.1
99,T.R. Dunn,SG,24.0,POR,82.0,1841.0,12.5,0.47,0.005,0.201,7.8,11.6,9.7,10.9,2.7,1.0,13.2,15.4,0.0,0.9,2.3,3.3,0.086,-0.8,1.3,0.4,1.1
100,James Edwards,C,24.0,IND,82.0,2314.0,17.6,0.545,0.001,0.328,7.8,18.4,12.9,8.0,1.1,2.4,10.0,22.0,0.0,4.4,2.4,6.7,0.14,0.2,-0.7,-0.5,0.9
102,Bob Elliott,PF,24.0,NJN,54.0,722.0,11.6,0.521,0.018,0.667,9.6,16.9,13.3,10.0,1.8,1.1,23.0,20.5,0.0,-0.3,1.0,0.8,0.05,-2.7,-0.2,-2.9,-0.2
103,Bo Ellis,PF,25.0,DEN,48.0,502.0,12.1,0.508,0.022,0.39,10.3,13.8,12.0,8.0,0.9,2.6,13.1,14.3,0.0,0.5,0.4,0.9,0.085,-1.6,-0.3,-1.9,0.0
104,Len Elmore,C,27.0,KCK,58.0,915.0,10.6,0.472,0.0,0.306,8.4,22.2,15.0,8.8,2.1,2.5,19.6,14.9,0.0,-0.3,1.8,1.5,0.08,-3.5,2.1,-1.4,0.1
105,Alex English*,SF,26.0,TOT,78.0,2401.0,18.0,0.536,0.005,0.239,11.3,14.9,13.1,13.9,1.4,1.4,14.8,23.4,0.0,3.3,2.0,5.3,0.105,1.6,-1.2,0.4,1.5
106,Alex English*,SF,26.0,IND,54.0,1526.0,17.7,0.539,0.004,0.204,11.0,14.9,12.9,13.5,1.4,1.2,14.2,22.2,0.0,2.4,1.3,3.6,0.114,1.6,-1.3,0.3,0.9
107,Alex English*,SF,26.0,DEN,24.0,875.0,18.5,0.531,0.007,0.295,11.9,15.0,13.4,14.7,1.5,1.8,15.7,25.6,0.0,0.9,0.7,1.6,0.089,1.6,-0.9,0.7,0.6
108,Julius Erving*,SF,29.0,PHI,78.0,2812.0,25.4,0.568,0.012,0.331,8.6,12.9,10.9,21.4,2.8,2.7,13.3,30.3,0.0,7.3,5.2,12.5,0.213,5.7,1.9,7.6,6.8
109,Earl Evans,PF,24.0,DET,36.0,381.0,10.3,0.495,0.129,0.3,7.1,13.6,10.3,12.9,1.6,0.1,18.5,19.6,0.0,-0.1,0.2,0.1,0.015,-2.8,-1.2,-4.0,-0.2
110,Mike Evans,SG,24.0,SAS,79.0,1246.0,9.8,0.485,0.091,0.183,2.5,6.6,4.6,22.8,2.1,0.4,20.3,19.1,0.0,-0.4,0.5,0.1,0.004,-2.9,-1.1,-4.0,-0.6
111,Eric Fernsten,PF,26.0,BOS,56.0,431.0,14.4,0.497,0.0,0.34,10.5,14.3,12.4,8.7,1.8,1.6,10.2,18.1,0.0,0.5,0.6,1.2,0.133,0.2,0.6,0.8,0.3
112,Chris Ford,SG,31.0,BOS,73.0,2115.0,13.0,0.537,0.231,0.161,4.1,5.4,4.8,13.5,2.5,0.7,12.2,16.2,0.0,2.9,2.6,5.6,0.126,0.6,1.4,2.0,2.1
113,Don Ford,SF,27.0,TOT,73.0,999.0,9.6,0.518,0.011,0.193,4.9,14.8,9.9,7.8,1.0,1.1,14.6,13.7,0.0,0.6,0.9,1.5,0.072,-2.2,0.1,-2.1,0.0
114,Don Ford,SF,27.0,LAL,52.0,580.0,8.3,0.545,0.008,0.215,4.7,13.0,9.2,7.2,0.9,1.3,17.4,11.9,0.0,0.3,0.6,0.9,0.073,-2.7,0.1,-2.5,-0.1
115,Don Ford,SF,27.0,CLE,21.0,419.0,11.4,0.494,0.014,0.174,5.1,17.4,11.0,8.6,1.2,0.8,11.9,16.1,0.0,0.2,0.4,0.6,0.071,-1.5,0.0,-1.5,0.1
