,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
94,Derrick Coleman,PF,31.0,CHH,37.0,29.0,1178.0,7.6,18.4,0.414,0.3,1.5,0.212,7.3,16.9,0.432,6.5,8.6,0.753,3.5,11.4,14.9,3.5,1.1,1.9,4.1,4.4,22.1,0.0,96.0,100.0
95,Bimbo Coles,PG,30.0,GSW,48.0,32.0,1272.0,7.8,17.6,0.442,0.3,1.1,0.24,7.5,16.5,0.455,3.5,4.3,0.822,0.9,4.1,5.0,9.4,1.9,0.5,3.5,4.8,19.3,0.0,104.0,104.0
96,Marty Conlon,C,31.0,MIA,7.0,0.0,35.0,4.9,21.0,0.231,0.0,0.0,0.0,4.9,21.0,0.231,3.2,3.2,1.0,1.6,6.5,8.1,1.6,0.0,1.6,4.9,9.7,12.9,0.0,58.0,102.0
97,Tyrone Corbin,SF,36.0,ATL,47.0,6.0,1066.0,6.9,17.7,0.391,2.0,6.3,0.319,4.9,11.4,0.431,2.7,4.2,0.65,2.0,5.7,7.7,2.3,1.6,0.4,2.3,3.9,18.6,0.0,100.0,99.0
98,James Cotton,SG,23.0,SEA,10.0,0.0,59.0,5.4,16.3,0.333,0.0,2.7,0.0,5.4,13.6,0.4,11.8,16.3,0.722,1.8,7.3,9.1,0.0,2.7,0.0,2.7,5.4,22.7,0.0,99.0,104.0
100,Chris Crawford,PF,23.0,ATL,42.0,30.0,784.0,7.9,18.3,0.431,0.8,2.4,0.333,7.1,15.9,0.446,4.1,5.0,0.814,2.7,3.8,6.5,1.7,0.7,0.9,3.4,7.6,20.7,0.0,99.0,102.0
101,Austin Croshere,PF,23.0,IND,27.0,0.0,249.0,7.1,16.7,0.427,1.8,6.5,0.276,5.4,10.3,0.522,4.5,5.1,0.87,3.6,6.5,10.0,2.2,1.6,1.8,5.1,7.1,20.5,0.0,96.0,104.0
102,John Crotty,PG,29.0,TOT,27.0,0.0,382.0,7.2,17.4,0.411,2.0,5.0,0.389,5.2,12.3,0.42,6.0,7.0,0.86,1.1,3.2,4.3,8.8,1.5,0.0,4.6,4.3,22.3,0.0,107.0,109.0
103,John Crotty,PG,29.0,POR,3.0,0.0,19.0,11.3,22.6,0.5,2.8,2.8,1.0,8.5,19.8,0.429,8.5,8.5,1.0,0.0,2.8,2.8,14.2,5.7,0.0,0.0,2.8,34.0,0.0,154.0,94.0
104,John Crotty,PG,29.0,SEA,24.0,0.0,363.0,6.9,17.1,0.405,1.9,5.2,0.371,5.0,12.0,0.42,5.9,6.9,0.851,1.2,3.2,4.4,8.6,1.3,0.0,4.9,4.4,21.7,0.0,105.0,110.0
105,Terry Cummings,PF,37.0,GSW,50.0,0.0,1011.0,9.9,22.7,0.439,0.1,0.1,1.0,9.9,22.6,0.437,4.3,6.1,0.711,5.1,8.5,13.6,3.1,2.5,0.5,3.1,9.0,24.3,0.0,101.0,99.0
106,William Cunningham,C,24.0,TOT,16.0,6.0,162.0,1.0,5.8,0.167,0.0,0.0,0.0,1.0,5.8,0.167,0.0,0.6,0.0,4.2,4.9,9.1,0.3,0.3,3.6,1.6,9.7,1.9,0.0,56.0,106.0
107,William Cunningham,C,24.0,TOR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
