,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
625,Andrew Wiggins,SF-SG,24.0,TOT,53.0,53.0,34.5,8.1,18.2,0.446,2.0,6.2,0.331,6.1,12.0,0.505,0.502,3.5,5.0,0.712,1.2,3.9,5.1,3.7,0.8,1.0,2.5,2.4,21.8
626,Andrew Wiggins,SF,24.0,MIN,42.0,42.0,34.6,8.4,18.8,0.444,2.2,6.5,0.331,6.2,12.3,0.505,0.502,3.5,4.9,0.72,1.1,4.1,5.2,3.7,0.7,0.9,2.5,2.4,22.4
627,Andrew Wiggins,SG,24.0,GSW,11.0,11.0,33.7,7.1,15.6,0.453,1.5,4.6,0.333,5.5,11.0,0.504,0.503,3.5,5.2,0.684,1.6,3.2,4.8,3.6,1.5,1.5,2.2,2.3,19.3
628,Grant Williams,PF,21.0,BOS,61.0,5.0,15.9,1.3,3.1,0.417,0.3,1.4,0.247,1.0,1.8,0.551,0.471,0.6,0.8,0.725,1.0,1.8,2.7,1.0,0.4,0.5,0.8,2.4,3.6
629,Johnathan Williams,C,24.0,WAS,11.0,5.0,12.3,1.5,2.3,0.64,0.0,0.2,0.0,1.5,2.1,0.696,0.64,0.3,0.5,0.6,1.4,2.5,3.9,0.5,0.1,0.5,0.4,1.0,3.2
630,Kenrich Williams,PF,25.0,NOP,35.0,18.0,22.3,1.4,4.1,0.343,0.7,2.7,0.26,0.7,1.3,0.511,0.43,0.3,0.7,0.375,1.4,3.7,5.1,1.5,0.7,0.6,0.6,2.3,3.8
631,Lou Williams,SG,33.0,LAC,60.0,8.0,29.3,6.1,14.7,0.416,1.8,4.9,0.363,4.3,9.8,0.442,0.476,4.6,5.4,0.863,0.5,2.6,3.1,5.7,0.7,0.2,2.9,1.3,18.7
633,Marvin Williams,PF,33.0,TOT,52.0,1.0,19.4,2.1,4.8,0.442,1.0,2.8,0.361,1.1,2.0,0.552,0.546,0.9,1.0,0.87,0.4,2.5,2.8,1.1,0.7,0.5,0.5,1.8,6.1
634,Marvin Williams,PF,33.0,CHO,41.0,1.0,19.7,2.3,5.1,0.448,1.1,2.9,0.376,1.2,2.3,0.538,0.552,1.0,1.2,0.86,0.4,2.3,2.7,1.0,0.6,0.5,0.6,1.7,6.7
635,Marvin Williams,PF,33.0,MIL,11.0,0.0,18.5,1.5,3.5,0.41,0.7,2.5,0.296,0.7,1.1,0.667,0.513,0.4,0.4,1.0,0.5,3.1,3.5,1.4,0.8,0.4,0.3,2.1,4.0
636,Robert Williams,C,22.0,BOS,23.0,1.0,14.0,1.8,2.7,0.677,0.0,0.0,0.0,1.8,2.7,0.677,0.677,0.6,1.1,0.56,1.5,3.2,4.7,1.0,0.9,1.2,0.9,1.7,4.3
637,Nigel Williams-Goss,PG,25.0,UTA,9.0,0.0,3.1,0.1,0.8,0.143,0.0,0.2,0.0,0.1,0.6,0.2,0.143,0.2,0.2,1.0,0.2,0.3,0.6,0.6,0.1,0.1,0.2,0.2,0.4
638,Zion Williamson,PF,19.0,NOP,19.0,19.0,29.7,9.1,15.4,0.589,0.3,0.7,0.462,8.7,14.7,0.595,0.599,5.2,8.0,0.645,2.9,3.9,6.8,2.2,0.8,0.5,2.7,1.7,23.6
639,D.J. Wilson,PF,23.0,MIL,31.0,0.0,9.0,1.3,3.3,0.396,0.5,1.8,0.255,0.8,1.5,0.565,0.465,0.2,0.3,0.667,0.3,1.9,2.2,0.7,0.1,0.2,0.5,0.8,3.2
640,Justise Winslow,SF,23.0,MIA,11.0,5.0,32.0,4.5,11.7,0.388,0.5,2.5,0.222,4.0,9.3,0.431,0.411,1.6,2.5,0.667,1.5,5.2,6.6,4.0,0.6,0.5,2.2,3.5,11.3
641,Christian Wood,PF,24.0,DET,61.0,11.0,21.1,4.5,8.0,0.559,0.8,2.2,0.375,3.7,5.8,0.63,0.611,2.9,3.9,0.752,1.7,4.6,6.3,1.0,0.5,0.9,1.3,1.6,12.8
642,Delon Wright,SG,27.0,DAL,63.0,5.0,21.7,2.7,5.8,0.47,0.7,1.8,0.375,2.1,4.1,0.512,0.527,1.1,1.4,0.784,1.0,2.9,3.9,3.4,1.1,0.3,1.0,1.3,7.3
643,Justin Wright-Foreman,PG,22.0,UTA,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,Thaddeus Young,PF,31.0,CHI,63.0,16.0,24.9,4.2,9.4,0.447,1.2,3.5,0.355,3.0,6.0,0.501,0.513,0.7,1.1,0.586,1.5,3.5,4.9,1.8,1.4,0.4,1.6,2.1,10.3
645,Trae Young,PG,21.0,ATL,59.0,59.0,35.3,9.1,20.7,0.436,3.4,9.4,0.358,5.7,11.3,0.501,0.518,7.9,9.2,0.862,0.5,3.8,4.3,9.3,1.1,0.1,4.8,1.7,29.4
