b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Wed, Nov 16, 1977",/boxscores/197711160HOU.html,Buffalo Braves,101,Houston Rockets,97,Box Score,,,
"Wed, Nov 16, 1977",/boxscores/197711160IND.html,Portland Trail Blazers,104,Indiana Pacers,111,Box Score,,,
"Wed, Nov 16, 1977",/boxscores/197711160NJN.html,Milwaukee Bucks,116,New Jersey Nets,106,Box Score,,,
"Wed, Nov 16, 1977",/boxscores/197711160PHI.html,Seattle SuperSonics,96,Philadelphia 76ers,101,Box Score,,,
"Thu, Nov 17, 1977",/boxscores/197711170NOJ.html,Seattle SuperSonics,116,New Orleans Jazz,127,Box Score,,,
"Thu, Nov 17, 1977",/boxscores/197711170SAS.html,Buffalo Braves,108,San Antonio Spurs,111,Box Score,,,
"Fri, Nov 18, 1977",/boxscores/197711180BOS.html,Philadelphia 76ers,121,Boston Celtics,112,Box Score,,,
"Fri, Nov 18, 1977",/boxscores/197711180DEN.html,San Antonio Spurs,94,Denver Nuggets,105,Box Score,,,
"Fri, Nov 18, 1977",/boxscores/197711180GSW.html,Cleveland Cavaliers,104,Golden State Warriors,108,Box Score,,,
"Fri, Nov 18, 1977",/boxscores/197711180LAL.html,Detroit Pistons,83,Los Angeles Lakers,116,Box Score,,,
"Fri, Nov 18, 1977",/boxscores/197711180NJN.html,Indiana Pacers,124,New Jersey Nets,116,Box Score,,,
"Fri, Nov 18, 1977",/boxscores/197711180PHO.html,Chicago Bulls,101,Phoenix Suns,103,Box Score,,,
"Fri, Nov 18, 1977",/boxscores/197711180WSB.html,New York Knicks,103,Washington Bullets,123,Box Score,,,
"Sat, Nov 19, 1977",/boxscores/197711190ATL.html,New Jersey Nets,114,Atlanta Hawks,129,Box Score,,,
"Sat, Nov 19, 1977",/boxscores/197711190BUF.html,Boston Celtics,98,Buffalo Braves,102,Box Score,,,
"Sat, Nov 19, 1977",/boxscores/197711190GSW.html,Detroit Pistons,96,Golden State Warriors,128,Box Score,,,
