b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Fri, Nov 15, 2013",/boxscores/201311150ATL.html,7:30p,Philadelphia 76ers,103,Atlanta Hawks,113,Box Score,,"12,070",
"Fri, Nov 15, 2013",/boxscores/201311150BOS.html,7:30p,Portland Trail Blazers,109,Boston Celtics,96,Box Score,,"18,624",
"Fri, Nov 15, 2013",/boxscores/201311150CLE.html,7:30p,Charlotte Bobcats,86,Cleveland Cavaliers,80,Box Score,,"18,679",
"Fri, Nov 15, 2013",/boxscores/201311150MIA.html,7:30p,Dallas Mavericks,104,Miami Heat,110,Box Score,,"19,772",
"Fri, Nov 15, 2013",/boxscores/201311150DEN.html,8:00p,Minnesota Timberwolves,113,Denver Nuggets,117,Box Score,,"17,142",
"Fri, Nov 15, 2013",/boxscores/201311150PHO.html,9:00p,Brooklyn Nets,100,Phoenix Suns,98,Box Score,OT,"15,984",
"Fri, Nov 15, 2013",/boxscores/201311150UTA.html,9:00p,San Antonio Spurs,91,Utah Jazz,82,Box Score,,"17,530",
"Fri, Nov 15, 2013",/boxscores/201311150LAL.html,10:30p,Memphis Grizzlies,89,Los Angeles Lakers,86,Box Score,,"18,997",
"Fri, Nov 15, 2013",/boxscores/201311150SAC.html,10:30p,Detroit Pistons,97,Sacramento Kings,90,Box Score,,"17,317",
"Sat, Nov 16, 2013",/boxscores/201311160CHA.html,7:00p,Miami Heat,97,Charlotte Bobcats,81,Box Score,,"19,084",
"Sat, Nov 16, 2013",/boxscores/201311160ORL.html,7:00p,Dallas Mavericks,108,Orlando Magic,100,Box Score,,"15,039",
"Sat, Nov 16, 2013",/boxscores/201311160WAS.html,7:00p,Cleveland Cavaliers,103,Washington Wizards,96,Box Score,OT,"18,038",
"Sat, Nov 16, 2013",/boxscores/201311160NYK.html,7:30p,Atlanta Hawks,110,New York Knicks,90,Box Score,,"19,812",
"Sat, Nov 16, 2013",/boxscores/201311160CHI.html,8:00p,Indiana Pacers,94,Chicago Bulls,110,Box Score,,"22,158",
"Sat, Nov 16, 2013",/boxscores/201311160HOU.html,8:00p,Denver Nuggets,111,Houston Rockets,122,Box Score,,"18,147",
"Sat, Nov 16, 2013",/boxscores/201311160MIN.html,8:00p,Boston Celtics,88,Minnesota Timberwolves,106,Box Score,,"15,111",
"Sat, Nov 16, 2013",/boxscores/201311160NOP.html,8:00p,Philadelphia 76ers,98,New Orleans Pelicans,135,Box Score,,"16,659",
"Sat, Nov 16, 2013",/boxscores/201311160MIL.html,8:30p,Oklahoma City Thunder,92,Milwaukee Bucks,79,Box Score,,"15,984",
"Sat, Nov 16, 2013",/boxscores/201311160GSW.html,10:30p,Utah Jazz,88,Golden State Warriors,102,Box Score,,"19,596",
"Sat, Nov 16, 2013",/boxscores/201311160LAC.html,10:30p,Brooklyn Nets,103,Los Angeles Clippers,110,Box Score,,"19,349",
"Sun, Nov 17, 2013",/boxscores/201311170TOR.html,1:00p,Portland Trail Blazers,118,Toronto Raptors,110,Box Score,OT,"17,945",
"Sun, Nov 17, 2013",/boxscores/201311170SAC.html,6:00p,Memphis Grizzlies,97,Sacramento Kings,86,Box Score,,"15,630",
"Sun, Nov 17, 2013",/boxscores/201311170LAL.html,9:30p,Detroit Pistons,99,Los Angeles Lakers,114,Box Score,,"18,997",
"Mon, Nov 18, 2013",/boxscores/201311180BRK.html,7:30p,Portland Trail Blazers,108,Brooklyn Nets,98,Box Score,,"17,732",
"Mon, Nov 18, 2013",/boxscores/201311180CHI.html,8:00p,Charlotte Bobcats,81,Chicago Bulls,86,Box Score,,"21,628",
"Mon, Nov 18, 2013",/boxscores/201311180OKC.html,8:00p,Denver Nuggets,113,Oklahoma City Thunder,115,Box Score,,"18,203",
"Mon, Nov 18, 2013",/boxscores/201311180DAL.html,8:30p,Philadelphia 76ers,94,Dallas Mavericks,97,Box Score,,"19,790",
"Mon, Nov 18, 2013",/boxscores/201311180UTA.html,9:00p,Golden State Warriors,98,Utah Jazz,87,Box Score,,"16,051",
"Mon, Nov 18, 2013",/boxscores/201311180LAC.html,10:30p,Memphis Grizzlies,106,Los Angeles Clippers,102,Box Score,,"19,060",
"Tue, Nov 19, 2013",/boxscores/201311190WAS.html,7:00p,Minnesota Timberwolves,100,Washington Wizards,104,Box Score,,"14,804",
"Tue, Nov 19, 2013",/boxscores/201311190DET.html,7:30p,New York Knicks,86,Detroit Pistons,92,Box Score,,"13,213",
"Tue, Nov 19, 2013",/boxscores/201311190MIA.html,7:30p,Atlanta Hawks,88,Miami Heat,104,Box Score,,"19,600",
"Tue, Nov 19, 2013",/boxscores/201311190HOU.html,8:00p,Boston Celtics,85,Houston Rockets,109,Box Score,,"18,232",
"Tue, Nov 19, 2013",/boxscores/201311190SAC.html,10:00p,Phoenix Suns,104,Sacramento Kings,107,Box Score,,"14,626",
"Wed, Nov 20, 2013",/boxscores/201311200CHA.html,7:00p,Brooklyn Nets,91,Charlotte Bobcats,95,Box Score,,"13,843",
"Wed, Nov 20, 2013",/boxscores/201311200CLE.html,7:00p,Washington Wizards,98,Cleveland Cavaliers,91,Box Score,,"16,189",
"Wed, Nov 20, 2013",/boxscores/201311200NYK.html,7:00p,Indiana Pacers,103,New York Knicks,96,Box Score,OT,"19,812",
"Wed, Nov 20, 2013",/boxscores/201311200ORL.html,7:00p,Miami Heat,120,Orlando Magic,92,Box Score,,"17,256",
"Wed, Nov 20, 2013",/boxscores/201311200PHI.html,7:00p,Toronto Raptors,108,Philadelphia 76ers,98,Box Score,,"10,787",
"Wed, Nov 20, 2013",/boxscores/201311200ATL.html,7:30p,Detroit Pistons,85,Atlanta Hawks,93,Box Score,,"13,167",
"Wed, Nov 20, 2013",/boxscores/201311200MIL.html,8:00p,Portland Trail Blazers,91,Milwaukee Bucks,82,Box Score,,"11,789",
"Wed, Nov 20, 2013",/boxscores/201311200MIN.html,8:00p,Los Angeles Clippers,102,Minnesota Timberwolves,98,Box Score,,"13,101",
"Wed, Nov 20, 2013",/boxscores/201311200NOP.html,8:00p,Utah Jazz,98,New Orleans Pelicans,105,Box Score,,"13,203",
"Wed, Nov 20, 2013",/boxscores/201311200SAS.html,8:30p,Boston Celtics,93,San Antonio Spurs,104,Box Score,,"18,581",
"Wed, Nov 20, 2013",/boxscores/201311200PHO.html,9:00p,Sacramento Kings,113,Phoenix Suns,106,Box Score,,"12,705",
"Wed, Nov 20, 2013",/boxscores/201311200DAL.html,9:30p,Houston Rockets,120,Dallas Mavericks,123,Box Score,,"20,045",
"Wed, Nov 20, 2013",/boxscores/201311200GSW.html,10:30p,Memphis Grizzlies,88,Golden State Warriors,81,Box Score,OT,"19,596",
"Thu, Nov 21, 2013",/boxscores/201311210OKC.html,8:00p,Los Angeles Clippers,91,Oklahoma City Thunder,105,Box Score,,"18,203",
"Thu, Nov 21, 2013",/boxscores/201311210DEN.html,10:30p,Chicago Bulls,87,Denver Nuggets,97,Box Score,,"18,423",
"Fri, Nov 22, 2013",/boxscores/201311220CHA.html,7:00p,Phoenix Suns,98,Charlotte Bobcats,91,Box Score,,"14,916",
"Fri, Nov 22, 2013",/boxscores/201311220PHI.html,7:00p,Milwaukee Bucks,107,Philadelphia 76ers,115,Box Score,OT,"13,588",
"Fri, Nov 22, 2013",/boxscores/201311220TOR.html,7:00p,Washington Wizards,88,Toronto Raptors,96,Box Score,,"18,671",
