,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
83,Vince Carter,SG,26.0,TOR,43.0,1471.0,21.9,0.532,0.172,0.211,4.4,10.4,7.3,20.4,1.7,2.0,8.2,28.1,0.0,3.4,0.8,4.2,0.136,4.7,-0.2,4.5,2.4
84,Sam Cassell,PG,33.0,MIL,78.0,2700.0,22.3,0.565,0.14,0.385,2.5,12.4,7.4,29.6,1.7,0.4,11.5,26.5,0.0,8.8,0.8,9.6,0.171,3.9,-1.2,2.7,3.2
85,Kelvin Cato,C,28.0,HOU,73.0,1247.0,15.5,0.535,0.016,0.484,12.5,26.7,19.8,2.6,1.6,4.9,15.3,13.6,0.0,1.3,2.5,3.8,0.145,-1.7,1.5,-0.2,0.6
86,Tyson Chandler,C,20.0,CHI,75.0,1827.0,15.8,0.565,0.0,0.601,10.4,20.6,15.5,6.8,1.0,4.2,18.1,18.1,0.0,1.8,2.1,3.9,0.102,-1.1,0.2,-0.9,0.5
87,Calbert Cheaney,SG,31.0,UTA,81.0,2351.0,9.8,0.514,0.038,0.106,3.9,10.5,7.3,11.7,1.5,0.4,13.7,15.5,0.0,1.0,1.7,2.8,0.056,-2.4,-0.3,-2.6,-0.4
88,Chris Childs,PG,35.0,NJN,12.0,106.0,6.2,0.352,0.3,0.15,3.2,2.2,2.7,22.2,4.0,0.7,22.0,11.6,0.0,-0.1,0.2,0.1,0.038,-5.7,3.4,-2.3,0.0
89,Doug Christie,SG,32.0,SAC,80.0,2710.0,15.0,0.59,0.332,0.312,2.5,10.6,6.8,19.3,3.3,0.9,18.5,12.7,0.0,4.2,4.7,8.9,0.157,0.0,3.2,3.2,3.6
90,Keon Clark,C,27.0,SAC,80.0,1780.0,13.9,0.528,0.009,0.284,8.8,17.9,13.6,6.5,1.1,5.6,15.6,14.9,0.0,1.3,3.4,4.7,0.127,-2.3,2.1,-0.2,0.8
91,Speedy Claxton,PG,24.0,SAS,30.0,471.0,15.9,0.509,0.076,0.393,5.7,8.0,6.9,26.9,2.5,1.0,17.1,20.2,0.0,0.6,0.6,1.2,0.125,0.1,1.1,1.2,0.4
92,Mateen Cleaves,PG,25.0,SAC,12.0,55.0,-3.7,0.323,0.043,0.174,2.1,13.0,7.8,25.7,1.8,0.0,36.1,31.1,0.0,-0.4,0.1,-0.4,-0.325,-12.4,-3.8,-16.2,-0.2
93,Derrick Coleman,C,35.0,PHI,64.0,1742.0,15.4,0.525,0.135,0.343,10.0,20.5,15.2,8.0,1.6,3.1,14.3,17.3,0.0,2.1,2.4,4.5,0.124,0.1,0.3,0.3,1.0
94,Bimbo Coles,PG,34.0,TOT,35.0,691.0,6.7,0.413,0.19,0.25,1.7,8.0,4.8,16.6,1.3,0.4,13.1,13.8,0.0,-0.2,0.2,0.0,0.0,-4.8,-0.8,-5.6,-0.6
95,Bimbo Coles,PG,34.0,CLE,21.0,516.0,6.0,0.381,0.21,0.286,2.1,8.4,5.2,16.6,1.1,0.6,11.8,12.8,0.0,-0.2,0.1,-0.1,-0.012,-4.6,-1.0,-5.6,-0.5
96,Bimbo Coles,PG,34.0,BOS,14.0,175.0,8.8,0.495,0.143,0.163,0.6,6.6,3.6,16.5,1.8,0.0,16.0,16.6,0.0,0.0,0.1,0.1,0.036,-5.4,-0.2,-5.6,-0.2
97,Jason Collier,C,25.0,HOU,13.0,104.0,15.0,0.488,0.0,0.056,13.6,18.4,16.1,1.8,1.0,0.7,5.1,17.3,0.0,0.2,0.1,0.3,0.126,0.4,-1.9,-1.4,0.0
99,Jarron Collins,C,24.0,UTA,22.0,421.0,8.2,0.53,0.012,0.721,9.6,7.8,8.6,5.2,0.6,1.1,14.4,14.5,0.0,0.5,0.2,0.7,0.078,-3.1,-0.9,-4.0,-0.2
100,Jason Collins,C,24.0,NJN,81.0,1900.0,9.9,0.521,0.012,0.698,8.2,13.9,11.1,6.9,1.3,1.7,16.1,12.5,0.0,1.7,3.0,4.7,0.119,-3.0,0.9,-2.0,0.0
101,Chris Crawford,PF,27.0,ATL,5.0,38.0,28.8,0.726,0.231,0.615,9.4,11.5,10.5,5.2,2.8,5.5,10.8,22.3,0.0,0.2,0.0,0.2,0.316,5.0,2.8,7.8,0.1
102,Jamal Crawford,PG,22.0,CHI,80.0,1992.0,15.4,0.496,0.3,0.16,1.2,9.0,5.1,28.8,2.0,0.9,13.4,22.2,0.0,1.6,1.1,2.8,0.067,1.1,-0.8,0.4,1.2
103,Austin Croshere,PF,27.0,IND,49.0,633.0,16.1,0.53,0.33,0.311,7.3,19.9,13.7,14.9,0.5,1.5,10.5,18.9,0.0,1.2,0.8,2.0,0.151,1.7,0.0,1.7,0.6
104,John Crotty,PG,33.0,DEN,12.0,180.0,7.6,0.431,0.317,0.366,0.6,9.5,4.9,26.7,0.9,0.0,15.9,14.0,0.0,0.0,0.1,0.1,0.031,-4.7,-0.9,-5.6,-0.2
105,Eddy Curry,C,20.0,CHI,81.0,1571.0,17.5,0.607,0.0,0.501,8.3,16.4,12.4,4.4,0.6,2.9,16.4,23.6,0.0,2.3,1.1,3.5,0.107,-0.6,-1.3,-1.9,0.0
106,Michael Curry,SF,34.0,DET,78.0,1555.0,5.7,0.474,0.236,0.197,1.2,8.6,4.8,10.8,1.6,0.2,14.7,9.0,0.0,0.2,1.7,2.0,0.06,-4.8,1.4,-3.3,-0.5
107,Erick Dampier,C,27.0,GSW,82.0,1978.0,15.8,0.543,0.004,0.425,13.5,15.7,14.6,4.6,0.7,5.1,15.3,15.7,0.0,3.1,1.0,4.1,0.099,-0.4,-0.6,-1.0,0.5
108,Antonio Daniels,SG,27.0,POR,67.0,872.0,13.3,0.572,0.317,0.409,1.5,8.4,5.0,14.9,2.0,0.8,12.7,13.3,0.0,1.6,0.8,2.3,0.128,0.1,0.9,1.0,0.7
109,Antonio Davis,C,34.0,TOR,53.0,1894.0,14.5,0.483,0.0,0.437,7.5,19.3,13.1,11.9,0.6,2.3,13.4,21.3,0.0,1.0,1.1,2.2,0.055,-0.9,-1.0,-1.9,0.1
110,Baron Davis,PG,23.0,NOH,50.0,1889.0,16.9,0.5,0.355,0.164,3.4,8.1,5.7,30.5,2.6,0.8,14.1,24.0,0.0,2.2,2.2,4.5,0.113,2.5,0.7,3.2,2.5
111,Dale Davis,C,33.0,POR,78.0,2282.0,14.5,0.566,0.0,0.379,12.3,17.5,14.9,6.4,1.2,2.3,12.2,11.8,0.0,4.3,2.6,6.9,0.145,0.5,0.1,0.6,1.5
112,Emanual Davis,SG,34.0,ATL,24.0,340.0,8.0,0.45,0.33,0.25,1.7,12.3,7.2,17.0,1.9,0.4,20.4,16.5,0.0,-0.3,0.2,-0.1,-0.013,-3.7,-0.5,-4.3,-0.2
113,Hubert Davis,SG,32.0,DET,43.0,328.0,8.8,0.484,0.456,0.076,2.1,11.0,6.5,15.1,0.8,0.0,11.9,13.6,0.0,0.2,0.3,0.5,0.071,-2.5,-0.3,-2.8,-0.1
114,Ricky Davis,SG,23.0,CLE,79.0,3131.0,16.1,0.485,0.139,0.316,3.4,10.7,7.0,26.5,2.0,0.8,14.2,27.1,0.0,1.5,1.5,3.0,0.046,1.0,-1.4,-0.3,1.3
115,Andrew DeClercq,C,29.0,ORL,77.0,1327.0,11.3,0.562,0.0,0.373,11.9,17.5,14.6,6.2,1.5,2.0,20.5,13.8,0.0,1.3,1.3,2.6,0.095,-3.5,-0.3,-3.7,-0.6
116,Tony Delk,PG,29.0,BOS,67.0,1873.0,13.7,0.547,0.543,0.155,2.4,11.9,7.0,14.0,2.0,0.4,10.3,16.6,0.0,2.5,2.1,4.6,0.117,0.3,0.8,1.1,1.4
117,Dan Dickau,PG,24.0,ATL,50.0,515.0,9.9,0.504,0.359,0.153,2.1,7.2,4.8,28.3,1.4,0.3,22.6,20.9,0.0,-0.1,0.1,0.0,0.001,-2.7,-2.4,-5.1,-0.4
118,Michael Dickerson,SG,27.0,MEM,6.0,87.0,10.0,0.553,0.458,0.208,1.3,6.4,3.9,14.1,3.0,0.8,18.6,16.7,0.0,0.1,0.0,0.1,0.054,-3.5,1.1,-2.4,0.0
120,DeSagana Diop,PF,21.0,CLE,80.0,943.0,6.7,0.356,0.0,0.195,7.3,18.4,12.8,6.9,1.8,6.1,25.1,10.3,0.0,-1.4,1.2,-0.2,-0.012,-6.2,1.9,-4.3,-0.6
