,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
102,John Hummer,PF,25.0,SEA,35.0,0.0,933.0,4.7,10.0,0.467,0.0,0.0,0.0,4.7,10.0,0.467,1.7,3.7,0.469,2.7,6.8,9.5,3.6,1.0,0.8,0.0,3.4,11.1
103,Tom Ingelsby,PG,22.0,ATL,48.0,0.0,398.0,4.5,11.8,0.382,0.0,0.0,0.0,4.5,11.8,0.382,2.6,3.3,0.784,0.9,3.1,4.0,3.3,1.7,0.4,0.0,3.9,11.7
104,Phil Jackson*,PF,28.0,NYK,82.0,0.0,2050.0,6.3,13.3,0.477,0.0,0.0,0.0,6.3,13.3,0.477,3.4,4.3,0.776,2.2,6.2,8.4,2.4,0.7,1.2,0.0,4.9,16.0
105,Charles Johnson,PG,24.0,GSW,59.0,0.0,1051.0,6.6,16.0,0.415,0.0,0.0,0.0,6.6,16.0,0.415,1.3,1.9,0.691,1.7,4.3,6.0,3.5,2.1,0.2,0.0,3.8,14.6
106,George Johnson,C,26.0,HOU,26.0,0.0,238.0,3.5,7.7,0.451,0.0,0.0,0.0,3.5,7.7,0.451,1.2,2.6,0.471,3.0,6.2,9.2,1.4,1.2,1.2,0.0,7.0,8.2
107,George Johnson,C,25.0,GSW,66.0,0.0,1291.0,4.8,10.0,0.483,0.0,0.0,0.0,4.8,10.0,0.483,1.6,3.0,0.551,5.3,9.3,14.6,2.0,1.0,3.5,0.0,4.9,11.3
108,John Johnson,SF,26.0,POR,69.0,0.0,2287.0,7.2,15.6,0.464,0.0,0.0,0.0,7.2,15.6,0.464,3.3,4.1,0.812,2.5,5.6,8.1,4.5,1.1,0.5,0.0,3.5,17.8
109,Ollie Johnson,SF,24.0,POR,79.0,0.0,1718.0,4.4,9.1,0.482,0.0,0.0,0.0,4.4,9.1,0.482,1.6,2.0,0.819,2.4,4.4,6.8,3.5,1.3,0.6,0.0,3.8,10.4
110,Dwight Jones,PF,21.0,ATL,74.0,0.0,1448.0,5.9,12.5,0.474,0.0,0.0,0.0,5.9,12.5,0.474,2.9,3.9,0.744,3.6,7.7,11.3,2.1,0.7,1.6,0.0,4.9,14.7
111,Larry Jones,PG,31.0,PHI,72.0,0.0,1876.0,5.0,11.9,0.423,0.0,0.0,0.0,5.0,11.9,0.423,3.8,4.5,0.838,1.4,2.2,3.5,4.4,1.6,0.3,0.0,2.2,13.9
112,Bob Kauffman,PF,27.0,BUF,74.0,0.0,1304.0,4.7,10.1,0.467,0.0,0.0,0.0,4.7,10.1,0.467,3.0,4.1,0.713,2.7,6.3,9.0,3.9,1.0,0.5,0.0,4.3,12.4
114,Ben Kelso,SG,24.0,DET,46.0,0.0,298.0,4.2,11.6,0.365,0.0,0.0,0.0,4.2,11.6,0.365,1.8,2.7,0.682,1.8,1.9,3.7,2.2,1.4,0.1,0.0,5.4,10.3
115,Toby Kimball,PF,31.0,PHI,75.0,0.0,1592.0,4.9,10.3,0.474,0.0,0.0,0.0,4.9,10.3,0.474,2.9,4.2,0.686,4.2,8.3,12.5,1.7,1.1,0.5,0.0,4.5,12.6
116,Don Kojis,SF,35.0,KCO,77.0,0.0,2091.0,6.9,14.4,0.478,0.0,0.0,0.0,6.9,14.4,0.478,3.6,4.7,0.772,2.2,4.4,6.6,1.9,1.3,0.3,0.0,2.7,17.4
117,Howard Komives,PG,32.0,KCO,44.0,0.0,830.0,3.4,8.3,0.406,0.0,0.0,0.0,3.4,8.3,0.406,1.4,1.6,0.868,0.4,1.4,1.9,4.2,1.4,0.1,0.0,3.6,8.2
118,Tom Kozelko,PF,22.0,CAP,49.0,0.0,573.0,3.7,8.4,0.444,0.0,0.0,0.0,3.7,8.4,0.444,1.4,2.0,0.719,3.3,4.5,7.8,1.6,1.3,0.4,0.0,5.2,8.9
