,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
582,Isaiah Whitehead,PG,21.0,BRK,73.0,26.0,1643.0,5.9,14.7,0.402,1.3,4.3,0.295,4.6,10.4,0.446,2.6,3.3,0.805,0.9,4.4,5.3,5.5,1.2,1.0,4.1,5.0,15.7,0.0,91.0,113.0
584,Hassan Whiteside,C,27.0,MIA,77.0,77.0,2513.0,10.9,19.5,0.557,0.0,0.0,0.0,10.9,19.5,0.557,4.5,7.2,0.628,5.9,15.9,21.8,1.1,1.1,3.2,3.1,4.5,26.3,0.0,113.0,100.0
585,Andrew Wiggins,SF,21.0,MIN,82.0,82.0,3048.0,11.8,26.1,0.452,1.7,4.8,0.356,10.1,21.3,0.473,6.9,9.0,0.76,1.7,3.8,5.5,3.1,1.4,0.5,3.1,3.0,32.2,0.0,107.0,115.0
586,C.J. Wilcox,SG,26.0,ORL,22.0,0.0,108.0,3.7,14.2,0.258,1.4,6.9,0.2,2.3,7.3,0.313,0.9,0.9,1.0,1.8,3.7,5.5,5.5,0.9,0.5,2.8,3.7,9.6,0.0,77.0,114.0
587,Alan Williams,C,24.0,PHO,47.0,0.0,708.0,9.3,18.1,0.517,0.0,0.1,0.0,9.3,18.0,0.519,4.7,7.6,0.625,6.4,13.4,19.7,1.6,1.8,2.2,2.5,8.5,23.4,0.0,113.0,106.0
588,Deron Williams,PG,32.0,TOT,64.0,44.0,1657.0,8.2,18.6,0.438,2.6,7.3,0.363,5.5,11.4,0.486,2.8,3.4,0.826,0.4,4.1,4.6,11.2,1.0,0.2,4.3,4.3,21.7,0.0,106.0,113.0
589,Deron Williams,PG,32.0,DAL,40.0,40.0,1171.0,8.7,20.1,0.43,2.8,8.0,0.348,5.9,12.1,0.485,3.1,3.7,0.821,0.6,4.0,4.5,12.2,1.1,0.1,4.4,4.3,23.2,0.0,106.0,112.0
590,Deron Williams,PG,32.0,CLE,24.0,4.0,486.0,7.0,15.1,0.463,2.3,5.4,0.415,4.7,9.7,0.489,2.2,2.6,0.84,0.1,4.5,4.6,8.8,0.6,0.6,4.1,4.3,18.4,0.0,107.0,114.0
591,Derrick Williams,PF,25.0,TOT,50.0,11.0,804.0,6.7,15.2,0.443,1.9,6.0,0.309,4.9,9.2,0.531,3.6,5.6,0.652,1.2,6.9,8.1,1.7,0.9,0.4,1.7,3.7,19.0,0.0,106.0,111.0
592,Derrick Williams,PF,25.0,MIA,25.0,11.0,377.0,7.2,18.3,0.394,1.2,6.0,0.2,6.0,12.3,0.489,4.1,6.7,0.62,2.1,7.6,9.8,1.9,1.2,0.7,1.9,4.4,19.8,0.0,97.0,108.0
